id,dataset,order,gender,Games_DFS,Games_SOARS_Involuntariness,Games_SOARS_Effortlessness,Games_ITC_SpatialPresence,Games_ITC_Engagement,Games_ITC_EcologicalValidity,Games_ITC_NegativeEffects,Games_Presence,Games_CharIdentification,Games_TIME,Movies_DFS,Movies_SOARS_Involuntariness,Movies_SOARS_Effortlessness,Movies_ITC_SpatialPresence,Movies_ITC_Engagement,Movies_ITC_EcologicalValidity,Movies_ITC_NegativeEffects,Movies_Presence,Movies_CharIdentification,Movies_TIME
R_eR8nSWvmkURbQrf,N,2,1,3.888888888888889,15,27,4.368421052631579,4.846153846153847,3.8000000000000003,1.3333333333333333,6.666666666666667,2.6,3,4.111111111111111,11,31,3.4210526315789473,5,4.2,1.5,5.666666666666667,3.6,3
R_5C2fNwKasyBviBb,N,1,1,3.5555555555555554,14,28,4.526315789473684,4.6923076923076925,4,3.1666666666666665,6,4,5,3.2222222222222223,18,22,3.894736842105263,4.230769230769231,4.2,2.833333333333333,4,4,4
R_2wzv9ayjl1Omc4o,N,2,2,5,5,35,4.157894736842105,5,3.4000000000000004,3.6666666666666665,5,5.4,5,4.111111111111111,5,29,2.4736842105263155,4.6923076923076925,4.2,1,4,1,4
R_7OjllrjHeyypkFb,N,1,1,4.333333333333333,9,31,3.4736842105263155,4.461538461538462,2.4000000000000004,1,4.666666666666667,5,5,2.7777777777777777,33,31,1.4210526315789473,4,3.4000000000000004,1.3333333333333333,6.666666666666667,2.8,4
R_3dFkW5Yf8c2OLDd,N,2,2,4.555555555555555,7,31,3.894736842105263,4.307692307692308,4.2,1,6.333333333333333,6,5,3.7777777777777777,5,33,3.4736842105263155,4.538461538461538,4.800000000000001,1.6666666666666665,6,5.6,5
R_1rj1sjQrljgoAcm,N,2,1,4.666666666666667,8,34,3.4210526315789473,4.0769230769230775,2.8000000000000003,1,5.666666666666667,3,4,4,17,32,3,4.461538461538462,4.2,1,4,4,3
R_TnZGRgkGkIcKcTf,N,1,1,3.7777777777777777,20,27,1.0526315789473684,3.7692307692307696,1,2.1666666666666665,4.333333333333333,1.8,5,3.3333333333333335,10,28,1.2105263157894737,4.538461538461538,1.8,1.6666666666666665,1.6666666666666667,2.2,5
R_2PdG9BUbu51WAM4,N,2,1,4.333333333333333,17,35,4.2105263157894735,4.0769230769230775,4.6000000000000005,1.5,5.666666666666667,7,2,3.7777777777777777,11,31,3,4.0769230769230775,4,1.1666666666666665,3.6666666666666665,4.6,5
R_2RUrwdmAkxWkoXg,N,2,1,4.777777777777778,11,35,2.263157894736842,3.307692307692308,1.4000000000000001,1,3.3333333333333335,1,5,4.111111111111111,11,27,1.3684210526315788,3.6923076923076925,2,1,2.3333333333333335,1,4
R_pH0MYqmNqyhkTKN,N,2,1,4.222222222222222,12,23,3.526315789473684,3.6153846153846154,3.4000000000000004,1.5,4,3.4,5,3.7777777777777777,15,19,3.1578947368421053,4.153846153846154,3.6,2,5,1.6,5
R_1hyZAD6pav1Yd6C,N,1,1,3.7777777777777777,18,23,2.894736842105263,4,2.4000000000000004,1.3333333333333333,3.6666666666666665,3,4,3.6666666666666665,19,28,2.526315789473684,4.0769230769230775,2.6,1.3333333333333333,3,4.2,3
R_3NLrATqQg3uxJju,N,1,2,3.4444444444444446,19,22,3.2105263157894735,3.6923076923076925,3.2,2.6666666666666665,4.666666666666667,3,5,3.3333333333333335,16,24,3.6842105263157894,4,3.6,2.1666666666666665,5,3.8,5
R_3PSslFWZPtdWs7y,N,1,1,3.6666666666666665,10,33,3.4736842105263155,4.6923076923076925,4,2,5.333333333333333,2.2,5,3.4444444444444446,8,29,2.3157894736842106,4.538461538461538,3,1,3.3333333333333335,2.8,4
R_vAc3MD7QKVEumxr,N,2,2,3.3333333333333335,17,26,1.3157894736842104,3.5384615384615388,1.4000000000000001,1.6666666666666665,2,2.2,4,2.888888888888889,18,21,1.789473684210526,3.4615384615384617,3.4000000000000004,1.8333333333333333,3.3333333333333335,2.4,4
R_3imT5ZWOQGZ4Q9j,N,1,1,4.222222222222222,10,28,3.7368421052631575,4.307692307692308,3,1,5.666666666666667,5,4,3.3333333333333335,14,29,2.3684210526315788,4.0769230769230775,3.2,1.3333333333333333,4.333333333333333,2.6,3
R_1RAHseYL9KxUtj3,N,1,2,3.888888888888889,13,24,2.9473684210526314,4.153846153846154,3.2,2.333333333333333,4.333333333333333,1.8,4,3.5555555555555554,23,30,2.789473684210526,4.6923076923076925,4.6000000000000005,1.1666666666666665,2.3333333333333335,2.2,4
R_25IiZbqOR6BFSJr,N,2,2,3.7777777777777777,19,23,3.2105263157894735,3.307692307692308,3.4000000000000004,1.5,5,5.2,4,3.3333333333333335,21,22,2.9473684210526314,2.8461538461538463,3,2,4.333333333333333,3,3
R_wT9XIDlTDtOkZSV,N,2,1,4.777777777777778,9,35,4.684210526315789,5,5,3,7,7,5,4.555555555555555,10,29,3.2105263157894735,4.846153846153847,4.2,2,6.333333333333333,5.2,5
R_vUApPaPxZqMMQzn,N,2,1,4.888888888888889,14,20,2,3.9230769230769234,2.4000000000000004,1.8333333333333333,6.333333333333333,4,5,4.555555555555555,13,33,4.2105263157894735,4.769230769230769,4.6000000000000005,1.6666666666666665,6.333333333333333,5.4,5
R_1Fqu83ctzYbUMNa,N,1,1,3.2222222222222223,14,28,3.526315789473684,3.153846153846154,2.6,3.1666666666666665,6.333333333333333,3.2,4,3,18,19,1.263157894736842,3.4615384615384617,2.2,3.333333333333333,1,3.4,4
R_3NxM5JJvNGyNPhk,N,2,1,4.111111111111111,19,31,4.2105263157894735,4.153846153846154,4.4,2.1666666666666665,6.666666666666667,5.2,5,3.2222222222222223,24,27,2.7368421052631575,4.307692307692308,4.2,1.8333333333333333,6.333333333333333,2.6,4
R_3shW3GA8qVcy4Es,N,1,2,3.3333333333333335,12,29,1.1578947368421053,2.307692307692308,1,1,1.6666666666666667,2.2,4,3.888888888888889,15,29,1.2105263157894737,3.307692307692308,1.2000000000000002,1,1.3333333333333333,1.6,3
R_2dYIKxy4F9dhlFG,N,1,1,3.5555555555555554,10,26,2.4736842105263155,3.384615384615385,1.8,1.3333333333333333,2.6666666666666665,1.2,5,2.888888888888889,16,28,1.4736842105263157,3.307692307692308,2,1.6666666666666665,1.3333333333333333,1.4,4
R_w0sMaAAfeas11bX,N,2,2,4.555555555555555,13,32,4.473684210526316,4.153846153846154,4.2,1.5,6.333333333333333,3.2,5,3.888888888888889,13,29,4.526315789473684,4.6923076923076925,4.2,1.8333333333333333,6,4.2,5
R_D5XK5GVyb2VbmhP,N,2,1,3.888888888888889,18,19,1.6842105263157894,4.230769230769231,2.2,2.833333333333333,6.333333333333333,2.6,5,3.4444444444444446,21,25,2.8421052631578947,4.307692307692308,3.4000000000000004,1,4.666666666666667,1.4,2
R_1E6w3aty8GCVea1,N,2,2,3.6666666666666665,14,24,3.578947368421052,3.9230769230769234,2.6,2.1666666666666665,4.333333333333333,2.6,5,3.3333333333333335,10,31,2.3684210526315788,4.384615384615385,2.4000000000000004,1.6666666666666665,5.333333333333333,3.4,2
R_3EGQOokkMmpLrZg,N,1,1,4.333333333333333,11,32,4.105263157894736,4.307692307692308,4,1.1666666666666665,7,5.2,5,3.7777777777777777,9,34,4,4.538461538461538,4.800000000000001,1,6,5.4,4
R_21FcOaO3mt8NJdu,N,2,2,4.444444444444445,10,33,3.894736842105263,4.846153846153847,3.8000000000000003,1.5,4.666666666666667,6.8,5,2.6666666666666665,23,30,2.8421052631578947,4.769230769230769,3,1.6666666666666665,3,3.8,2
R_2dZv4gJ3MBJ51to,N,1,1,4,9,26,3.8421052631578947,4.384615384615385,3.4000000000000004,3.333333333333333,5.333333333333333,4.4,4,4.111111111111111,10,26,3.789473684210526,4.461538461538462,4,2.6666666666666665,6.333333333333333,5.4,4
R_1qUQtAwcr36ag9v,N,1,2,3.888888888888889,14,30,2.3684210526315788,3.4615384615384617,3,1.6666666666666665,3.3333333333333335,3.6,3,3.6666666666666665,12,27,2.052631578947368,3.4615384615384617,3.4000000000000004,1,3.3333333333333335,3,3
R_4YnVfFkBB3UFIcN,N,1,1,3.6666666666666665,16,25,2.631578947368421,4.153846153846154,2.2,1.6666666666666665,4.333333333333333,5,4,3,10,29,1.1052631578947367,3,2.6,1,1.6666666666666667,3.6,3
R_2zMw9I9BcIlKHKr,N,2,1,3.4444444444444446,6,20,4.631578947368421,4.6923076923076925,4.6000000000000005,1.6666666666666665,5.333333333333333,3,5,3.6666666666666665,14,20,3,3,2.8000000000000003,4.166666666666666,4.666666666666667,3.2,4
R_1LjeV9JCjfXqhGN,N,1,2,4.222222222222222,13,29,3.31578947368421,3.9230769230769234,3.2,1.8333333333333333,5.333333333333333,4.8,4,4.222222222222222,17,29,3.2105263157894735,4.615384615384616,3.2,1,6,3.4,4
R_1pLIszddTcL9MRV,N,2,2,4.222222222222222,11,32,3.4736842105263155,4.769230769230769,3.4000000000000004,2.5,4,3.8,5,3.4444444444444446,12,23,3.2105263157894735,3.9230769230769234,2.6,2,6,2.2,4
R_xf4RAR3yFJcKeC5,N,2,2,3.6666666666666665,12,30,4,3.7692307692307696,4,1.8333333333333333,5.333333333333333,5,5,3.5555555555555554,10,30,3.894736842105263,4,4,2,5.333333333333333,1.8,4
R_2eWGwrZocNlRJFd,N,1,1,4.111111111111111,12,31,4.368421052631579,4.923076923076923,3.6,1.1666666666666665,6.666666666666667,4.2,4,3.7777777777777777,18,30,1.9473684210526314,3.7692307692307696,3.4000000000000004,1.3333333333333333,3.6666666666666665,2.2,2
R_114Uij45do4BffS,N,1,2,4.333333333333333,7,31,3.31578947368421,4.923076923076923,3.6,1,5.333333333333333,2,5,3.7777777777777777,8,32,1.3684210526315788,4.6923076923076925,2.4000000000000004,1,1.6666666666666667,2.4,4
R_2cwijETGzTdcizs,N,2,1,4.111111111111111,12,33,4.526315789473684,3.9230769230769234,4.4,1.8333333333333333,6,5.2,5,3.5555555555555554,15,29,3.4210526315789473,3.5384615384615388,4,1,4.333333333333333,5.4,5
R_wY22ORALDtI7Oa5,N,2,1,3.888888888888889,19,23,1.526315789473684,3.153846153846154,2,2.333333333333333,3,1.4,5,3.888888888888889,11,25,1.526315789473684,2.769230769230769,3.2,2.1666666666666665,3.6666666666666665,2.4,4
